movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
25th Hour,19-12-2002,Drama,R,13084595,
The Recruit,31-01-2003,Thriller/Suspense,PG-13,52784696,
Shanghai Knights,07-02-2003,Adventure,PG-13,60470220,
The Jungle Book 2,14-02-2003,Adventure,G,47901582,
Bringing Down the House,07-03-2003,Comedy,PG-13,132675402,
Piglet's Big Movie,21-03-2003,Comedy,G,23103423,
Ghosts of the Abyss,11-04-2003,Documentary,G,17093668,
Holes,18-04-2003,Drama,PG,67383924,
The Lizzie McGuire Movie,02-05-2003,Comedy,PG,42734455,
Finding Nemo,30-05-2003,Adventure,G,380529370,
Pirates of the Caribbean: The Curse o…,09-07-2003,Adventure,PG-13,305411224,
Freaky Friday,06-08-2003,Comedy,PG,110222438,
Open Range,15-08-2003,Western,R,58331254,
Cold Creek Manor,19-09-2003,Thriller/Suspense,R,21384035,
Under the Tuscan Sun,26-09-2003,Comedy,PG-13,43601508,
Veronica Guerin,17-10-2003,Drama,R,1569918,
Brother Bear,24-10-2003,Adventure,G,85336277,
The Haunted Mansion,26-11-2003,Comedy,PG,75817994,
Calendar Girls,19-12-2003,Comedy,PG-13,31011616,
Young Black Stallion,25-12-2003,Adventure,G,6751389,
Teacher's Pet: The Movie,16-01-2004,Comedy,PG,6491969,
Miracle,06-02-2004,Drama,PG,64378093,
Confessions of a Teenage Drama Queen,20-02-2004,Comedy,PG,29331068,
Hidalgo,05-03-2004,Western,PG-13,67286731,
The Ladykillers,26-03-2004,Comedy,R,39692139,
Home on the Range,02-04-2004,Comedy,PG,50026353,
The Alamo,09-04-2004,Western,PG-13,22406362,
Raising Helen,28-05-2004,Comedy,PG-13,37485528,
Around the World in 80 Days,16-06-2004,Adventure,PG,24004159,
America's Heart and Soul,02-07-2004,Documentary,Not Rated,314000,
King Arthur,07-07-2004,Adventure,PG-13,51877963,
The Village,30-07-2004,Thriller/Suspense,PG-13,114197520,
The Princess Diaries 2: Royal Engagement,11-08-2004,Romantic Comedy,G,95149435,
Mr. 3000,17-09-2004,Comedy,PG-13,21800302,
The Last Shot,24-09-2004,Comedy,R,463730,
Ladder 49,01-10-2004,Action,PG-13,74541707,
The Incredibles,05-11-2004,Adventure,PG,261441092,
National Treasure,19-11-2004,Adventure,PG,173005002,
The Life Aquatic with Steve Zissou,10-12-2004,Comedy,R,24006726,
Aliens of the Deep,28-01-2005,Documentary,G,8968684,
Pooh's Heffalump Movie,11-02-2005,Adventure,G,18098433,
The Pacifier,04-03-2005,Comedy,PG,113006880,
Ice Princess,18-03-2005,Comedy,G,24381334,
A Lot Like Love,22-04-2005,Comedy,PG-13,21835784,
The Hitchhiker's Guide to the Galaxy,29-04-2005,Comedy,PG,51019112,
Hauru no ugoku shiro,10-06-2005,Adventure,PG,4710455,
Herbie: Fully Loaded,22-06-2005,Comedy,G,66010682,
Dark Water,08-07-2005,Thriller/Suspense,PG-13,25473093,
Sky High,29-07-2005,Adventure,PG,63939454,
Valiant,19-08-2005,Adventure,G,19478106,
